,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
12/31/2001,352.71,0.16518,307.81%,476.84%,0.63%,0.68%,,,
11/30/2001,350.5,2.40312,305.25%,472.95%,7.66%,8.41%,,,
10/31/2001,325.55,0.71635,276.40%,428.48%,8.61%,8.86%,,,
,,,,,,,,,
9/28/2001,299.73,2.39232,246.56%,385.48%,-13.61%,-12.95%,,,
8/31/2001,346.94,1.78923,301.14%,457.70%,0.79%,1.29%,,,
7/31/2001,344.22,--,297.99%,450.57%,-5.32%,-5.32%,,,
,,,,,,,,,
6/29/2001,363.55,2.48846,320.34%,481.49%,3.52%,4.22%,,,
5/31/2001,351.2,0.33247,306.06%,457.94%,0.35%,0.44%,,,
4/30/2001,349.99,0.21997,304.66%,455.51%,11.55%,11.63%,,,
,,,,,,,,,
3/30/2001,313.74,2.60934,262.75%,397.63%,-11.19%,-10.49%,,,
2/28/2001,353.25,1.75874,308.43%,455.92%,-4.41%,-3.94%,,,
1/31/2001,369.55,--,327.28%,478.70%,3.63%,3.63%,,,
,,,,,,,,,
12/29/2000,356.62,0.16678,312.33%,458.44%,3.55%,3.60%,,,
11/30/2000,344.38,2.28002,298.18%,439.03%,1.92%,2.60%,,,
10/31/2000,337.89,0.58801,290.68%,425.37%,-6.53%,-6.37%,,,
,,,,,,,,,
9/29/2000,361.5,3.98961,317.98%,461.10%,-4.04%,-3.00%,,,
8/31/2000,376.72,1.0393,335.57%,478.45%,0.35%,0.63%,,,
7/31/2000,375.39,--,334.03%,474.85%,-5.77%,-5.77%,,,
,,,,,,,,,
6/30/2000,398.4,2.75278,360.63%,510.09%,13.30%,14.15%,,,
5/31/2000,351.63,0.14292,306.56%,434.47%,-3.73%,-3.69%,,,
4/28/2000,365.26,0.0676,322.32%,454.97%,-2.55%,-2.53%,,,
,,,,,,,,,
3/31/2000,374.8,3.35246,333.35%,469.37%,-1.31%,-0.45%,,,
2/29/2000,379.77,1.18007,339.09%,471.96%,-1.90%,-1.60%,,,
1/31/2000,387.12,0.09167,347.60%,481.24%,-4.58%,-4.56%,,,
,,,,,,,,,
12/31/1999,405.72,0.48449,369.10%,509.03%,5.71%,5.84%,,,
11/30/1999,383.82,1.73962,343.78%,475.43%,5.20%,5.68%,,,
10/29/1999,364.83,1.63036,321.83%,444.50%,-2.47%,-2.04%,,,
,,,,,,,,,
9/30/1999,374.06,4.12663,332.50%,455.81%,-0.14%,0.93%,,,
8/31/1999,374.6,0.95267,333.12%,450.67%,-5.50%,-5.27%,,,
7/30/1999,396.4,0.07664,358.32%,481.28%,0.13%,0.15%,,,
,,,,,,,,,
6/30/1999,395.87,2.62626,357.72%,480.40%,4.39%,5.08%,,,
5/31/1999,379.24,0.90582,338.48%,452.33%,-8.03%,-7.83%,,,
4/30/1999,412.37,0.62887,376.79%,499.23%,9.27%,9.44%,,,
,,,,,,,,,
3/31/1999,377.4,3.02526,336.35%,447.52%,4.85%,5.69%,,,
2/26/1999,359.96,0.69206,316.19%,418.04%,-3.13%,-2.95%,,,
1/29/1999,371.58,0.13452,329.63%,433.79%,6.12%,6.16%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return
