,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
4/30/2003,0.14,--,14.48%,28.60%,14.17%,14.17%,,,,,
,,,,,,,,,,,
3/31/2003,0.13,0.00012,0.26%,12.63%,-9.72%,-9.64%,,,,,
2/28/2003,0.14,--,11.06%,24.65%,-5.58%,-5.58%,,,,,
1/31/2003,0.15,--,17.63%,32.02%,-4.45%,-4.45%,,,,,
,,,,,,,,,,,
12/31/2002,0.15,0.00325,23.11%,38.17%,-13.31%,-11.57%,,,,,
11/29/2002,0.18,--,42.00%,56.25%,13.02%,13.02%,,,,,
10/31/2002,0.16,--,25.65%,38.25%,4.54%,4.54%,,,,,
,,,,,,,,,,,
9/30/2002,0.15,--,20.19%,32.25%,-13.78%,-13.78%,,,,,
8/30/2002,0.18,--,39.40%,53.38%,0.36%,0.36%,,,,,
7/31/2002,0.17,--,38.89%,52.83%,-2.82%,-2.82%,,,,,
,,,,,,,,,,,
6/28/2002,0.18,0.00016,42.92%,57.26%,-4.68%,-4.59%,,,,,
5/31/2002,0.19,--,49.94%,64.82%,1.10%,1.10%,,,,,
4/30/2002,0.19,--,48.30%,63.03%,0.11%,0.11%,,,,,
,,,,,,,,,,,
3/29/2002,0.19,0.00016,48.14%,62.84%,8.20%,8.29%,,,,,
2/28/2002,0.17,--,36.91%,50.37%,10.13%,10.13%,,,,,
1/31/2002,0.16,--,24.31%,36.53%,7.76%,7.76%,,,,,
,,,,,,,,,,,
12/31/2001,0.14,0.00158,15.36%,26.70%,7.26%,8.48%,,,,,
11/30/2001,0.14,--,7.55%,16.79%,25.37%,25.37%,,,,,
10/31/2001,0.11,--,-14.22%,-6.84%,15.44%,15.44%,,,,,
,,,,,,,,,,,
9/28/2001,0.09,--,-25.69%,-19.31%,-15.66%,-15.66%,,,,,
